"runner","age","net","gun","year","previous"
"19",55,86.96666667,88.45,2002,2
"19",56,79.86666667,80.73333333,2003,3
"19",58,83.86666667,85,2005,4
"19",60,NA,84.68333333,2007,5
"19",61,NA,85.3,2008,6
"20",50,NA,102.7666667,1999,0
"20",52,104.1166667,109.15,2001,1
"20",53,97.48333333,101.4333333,2002,2
"20",54,105.2,108.9,2003,3
"20",55,112.8833333,116.75,2004,4
"20",56,120.4666667,122.5666667,2005,5
"20",58,NA,116.0833333,2007,6
"21",52,NA,82.28333333,1999,0
"21",53,83,83.86666667,2000,1
"21",54,83.53333333,88.78333333,2001,2
"21",55,82.11666667,83.98333333,2002,3
"21",56,85.95,86.36666667,2003,4
"21",57,92.4,94.21666667,2004,5
"21",58,89.58333333,97.25,2005,6
"22",50,NA,86.46666667,1999,0
"22",52,83.23333333,85.71666667,2001,1
"22",53,88.06666667,91.68333333,2002,2
"22",54,84.53333333,86.46666667,2003,3
"22",55,92.18333333,98.55,2004,4
"22",56,91.66666667,97.26666667,2005,5
"22",58,NA,89.85,2007,6
"23",51,NA,104.7833333,1999,0
"23",53,102.1333333,105.8666667,2001,1
"23",54,101.0833333,104.9833333,2002,2
"23",55,98.16666667,101.9166667,2003,3
"23",56,106.3333333,113.0833333,2004,4
"23",57,105,112.5666667,2005,5
"23",58,110.9833333,119.9666667,2006,6
"24",54,NA,97.68333333,1999,0
"24",55,99.08333333,100.8666667,2000,1
"24",56,103.9333333,105.3666667,2001,2
"24",57,103.8166667,108,2002,3
"24",58,105.9166667,110,2003,4
"24",59,111.1666667,114.95,2004,5
"24",60,112.9666667,118.6666667,2005,6
"25",51,98.43333333,100.5666667,2000,0
"25",52,109.8333333,113.5833333,2001,1
"25",55,105.7333333,109.5666667,2004,2
"25",56,98.93333333,100.85,2005,3
"25",57,94.48333333,97.73333333,2006,4
"25",58,NA,102.9666667,2007,5
"25",59,NA,101.7666667,2008,6
"26",50,NA,90.35,1999,0
"26",51,83.41666667,83.9,2000,1
"26",52,82.71666667,83.91666667,2001,2
"26",53,84.6,85.15,2002,3
"26",54,87.35,87.6,2003,4
"26",55,87.76666667,88.18333333,2004,5
"26",58,NA,90.81666667,2007,6
"27",50,91.96666667,95.38333333,2000,0
"27",51,92.3,93.3,2001,1
"27",52,92.46666667,96.46666667,2002,2
"27",53,102.5,107.5666667,2003,3
"27",55,105.5333333,108.6166667,2005,4
"27",56,106.1333333,112.4333333,2006,5
"27",57,NA,112.95,2007,6
"28",50,72.15,73.06666667,2001,0
"28",51,76.13333333,76.58333333,2002,1
"28",52,77.91666667,78.4,2003,2
"28",53,75.1,75.9,2004,3
"28",54,74.76666667,75,2005,4
"28",56,NA,78.75,2007,5
"28",57,NA,78.76666667,2008,6
"29",54,NA,63.85,1999,0
"29",55,62.71666667,62.73333333,2000,1
"29",56,62.46666667,62.5,2001,2
"29",57,61.51666667,61.51666667,2002,3
"29",58,63.28333333,63.3,2003,4
"29",59,63.98333333,64,2004,5
"29",60,64.36666667,64.38333333,2005,6
"30",53,NA,63.53333333,1999,0
"30",55,62.28333333,62.4,2001,1
"30",56,63.63333333,63.71666667,2002,2
"30",57,65.96666667,66.23333333,2003,3
"30",58,66.15,66.35,2004,4
"30",59,73.48333333,76.91666667,2005,5
"30",60,67.8,67.9,2006,6
"31",52,77.31666667,77.86666667,2000,0
"31",53,88,88.56666667,2001,1
"31",54,80.3,80.75,2002,2
"31",55,82.8,84.9,2003,3
"31",56,84.31666667,85.16666667,2004,4
"31",59,NA,91.2,2007,5
"31",60,NA,86.06666667,2008,6
"32",50,NA,77.46666667,1999,0
"32",51,76.06666667,76.4,2000,1
"32",52,75.2,75.48333333,2001,2
"32",53,79.53333333,79.93333333,2002,3
"32",55,81.58333333,82.18333333,2004,4
"32",57,80.93333333,81.76666667,2006,5
"32",58,NA,88.66666667,2007,6
"33",54,NA,86.85,1999,0
"33",56,90.06666667,92.71666667,2001,1
"33",58,85.71666667,87.23333333,2003,2
"33",59,83.76666667,86.58333333,2004,3
"33",60,83,84.2,2005,4
"33",62,NA,85.68333333,2007,5
"33",63,NA,95.85,2008,6
"34",52,NA,70.23333333,1999,0
"34",54,70.53333333,71.15,2001,1
"34",55,74.01666667,74.33333333,2002,2
"34",56,73.03333333,73.61666667,2003,3
"34",57,80.76666667,81.58333333,2004,4
"34",58,80.76666667,83.4,2005,5
"34",60,NA,80.63333333,2007,6
"35",52,NA,85.63333333,1999,0
"35",53,85.75,87,2000,1
"35",54,85.01666667,85.48333333,2001,2
"35",55,83.91666667,84.46666667,2002,3
"35",56,90.03333333,91.35,2003,4
"35",58,89.96666667,95.6,2005,5
"35",59,87.15,88.21666667,2006,6
"36",51,NA,111.1833333,1999,0
"36",53,105.75,111.5333333,2001,1
"36",54,103.0166667,109.4833333,2002,2
"36",56,105.4166667,111.9166667,2004,3
"36",57,115.7666667,123.6333333,2005,4
"36",59,NA,112.2666667,2007,5
"36",60,NA,123.2166667,2008,6
